EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,Timestamp,Response
22.304763335734606,58.08438621181995,42.881692891940475,8.575590598396957,1700259623.741128,
-69.73417457379401,-79.12132346257567,-75.48614070564508,-68.92635618336499,1700259623.741128,
70.08572516962886,89.41726804058999,90.16524803172797,51.45728349033743,1700259623.8019884,
-131.7716350387782,-89.1928740432486,-93.22074629552662,-118.03498250152916,1700259623.8019884,
-143.11101170442998,-143.46256230026484,-139.49078854732215,-125.1333126174286,1700259623.802789,
53.14771827030927,67.06388600543141,73.04398603457958,55.61231234110892,1700259623.802789,
-45.7988148573786,-6.125956127420068,-16.268564807251096,-49.95758360810578,1700259623.803416,
-178.74103858228773,-174.13722173683345,-172.55524405557662,-163.86371655855328,1700259623.803416,
8.751365896314383,7.419961512088776,11.197260467335582,5.007726040668786,1700259623.804216,
25.236844900995493,59.24001529812813,65.2163754273206,23.72966521885246,1700259623.804216,
-184.09657531883568,-149.08363193366677,-153.91184277646244,-142.64726410992444,1700259623.8155537,
-54.03407455980778,-63.56333964690566,-62.49746815953404,-48.3943054266274,1700259623.8155537,
81.54103873390704,105.53997674956918,103.71864547114819,65.4781684242189,1700259623.8163204,
-111.19470548257232,-67.74828769732267,-82.15812222659588,-101.18673320114613,1700259623.8163204,
-208.96317012421787,-144.09834529273212,-170.88724867533892,-210.8368600020185,1700259623.8170676,
-344.95341231301427,-306.42122306954116,-325.64804874174297,-314.974374268204,1700259623.8170676,
-142.65474390983582,-131.5846400409937,-137.65075776912272,-143.15963040385395,1700259623.8292208,
-115.49559043161571,-60.32832618523389,-86.3393303770572,-137.63205826934427,1700259623.8292208,
-319.79884521104395,-270.4284258959815,-305.11973788496107,-310.45657512173057,1700259623.8448868,
-204.63984577544034,-193.06859531253576,-208.55926092900336,-202.96063069533557,1700259623.8448868,
-72.61763743963093,-26.818822582252324,-55.395398143678904,-84.79101179540157,1700259623.845624,
-272.5003304714337,-208.53682152926922,-244.93726779799908,-264.14539397042245,1700259623.845624,
-293.96735621709377,-273.0613154647872,-285.00655592326075,-266.3855940438807,1700259623.859223,
