EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,Timestamp,Response
-165.58407053817064,-199.10479384101927,-192.571188618429,-118.5772679951042,1700259281.551648,
46.60289334785193,45.219130364246666,52.2838013805449,35.81702187564224,1700259281.551648,
-136.41285088378936,-156.64944954402745,-153.5565522806719,-99.12604832556099,1700259281.5659187,
-93.65831459034234,-111.78934957552701,-96.94194675143808,-53.99293566029519,1700259281.5659187,
52.62039237655699,50.04360130708665,67.69218919798732,42.085094201378524,1700259281.566656,
-70.56443236395717,-82.76772591937333,-82.86870321817696,-64.2140822391957,1700259281.566656,
-148.49646764062345,-175.64440141897649,-165.34471694100648,-94.92240077536553,1700259281.5801291,
16.272304707206786,13.912427835166454,28.643893760629,13.224286243319511,1700259281.5801291,
-4.398122347891331,-7.453620611689985,-1.7240938795730472,-1.5221392819657922,1700259281.5958772,
-170.99944567400962,-202.97559029515833,-198.55876844748855,-126.62553269974887,1700259281.5958772,
-19.799030365422368,-31.32540202885866,-17.887941488064826,-13.837629836052656,1700259281.5966225,
41.59516730718315,46.120446253567934,53.802200762555,37.90388605091721,1700259281.5966225,
-129.44541726633906,-152.554259092547,-151.86611750070006,-98.71091943047941,1700259281.642926,
-87.44634076394141,-107.33138882834464,-94.08466318529099,-51.47224309016019,1700259281.642926,
54.557660553604364,54.086433159187436,65.6614235220477,40.68263171799481,1700259281.6436336,
-78.91562896501273,-84.76483249571174,-79.19986136164516,-60.8070333795622,1700259281.6436336,
-143.94126949459314,-174.3765753339976,-164.73511324822903,-96.10794906131923,1700259281.6444192,
17.865502088330686,12.233212755061686,32.806402411311865,11.137422068044543,1700259281.6444192,
3.0816775634884834,-2.5580915696918964,1.8624701779335737,-4.84317044261843,1700259281.6451747,
-170.73017287719995,-200.18562492821366,-195.0507422890514,-120.77632916904986,1700259281.6451747,
-29.186179254204035,-34.30236239358783,-13.467379740439355,-4.757152743637562,1700259281.6558602,
42.69095799420029,46.853466644883156,55.85540583822876,30.17351284250617,1700259281.6558602,
-137.9910886650905,-158.16784892603755,-154.34567117132246,-97.31593674700707,1700259281.6566076,
-88.14196215569973,-107.47350502666086,-97.3421160466969,-50.8401999976486,1700259281.6566076,
50.152058405801654,50.99727579578757,63.65683714579791,40.54425541963428,1700259281.7029488,
-75.36646390706301,-86.67966127302498,-83.69896100834012,-59.42327039595693,1700259281.7029488,
-145.17169658001512,-171.08920327294618,-166.06277773249894,-92.51016530394554,1700259281.7037032,
16.197506708092988,16.05539050977677,32.69794531259686,19.892527864314616,1700259281.7037032,
-3.695021156221628,-4.02413235232234,5.718307032249868,1.1331896865740418,1700259281.704427,
-167.20344721898437,-200.15570572856814,-198.0613617533818,-121.90203905571252,1700259281.704427,
-25.057329703122377,-30.319368940778077,-15.434567117132246,-6.84775681886822,1700259281.7051983,
39.627979930490255,46.34484025090933,54.75213535130024,39.691558229736984,1700259281.7051983,
-143.46630220022053,-156.93368194065988,-157.90231602918357,-94.36141578201205,1700259281.7478642,
-92.32691020611674,-108.15042691864073,-95.86485556419939,-51.82379368599504,1700259281.7478642,
52.549334277398884,55.20840314589441,67.38177750166506,48.951550520025194,1700259281.748644,
-79.75336655508727,-85.7446862841025,-82.96220071706921,-57.59071941766888,1700259281.748644,
-148.2571140434593,-173.14988814853132,-170.99196587409824,-89.48084633983672,1700259281.7493947,
12.581023450940847,14.432273929007351,32.95599840953946,17.087602897547185,1700259281.7493947,
-2.0419853758066893,-2.7637860672548413,2.251419773325324,0.6283031925559044,1700259281.7501452,
-171.47815286833793,-198.3867330495268,-195.63042678218335,-119.10085398890078,1700259281.7501452,
-25.251804500818253,-27.36484797578305,-15.29619081877172,-5.497652934864163,1700259281.760898,
45.10693336557597,47.53786833677441,56.76420152746141,37.8328279517591,1700259281.760898,
-141.6225315220654,-155.57609825674444,-155.57235835678875,-101.80007679387927,1700259281.7616467,
-91.02542502153665,-105.76437074691057,-96.68763355445117,-47.8370603332296,1700259281.7616467,
52.21648318134248,53.323493568226695,63.58951894659549,43.45389758516103,1700259281.7758703,
-77.10551738645881,-89.80995753593743,-86.42160817608237,-56.67444392852485,1700259281.7758703,
-148.37679084204137,-173.17980734817684,-163.88615595828742,-87.47252006363124,1700259281.7766209,
13.961046534590423,15.27375141903758,30.842954934574664,19.148287773132324,1700259281.7766209,
-1.5969372810795903,-8.05200460460037,-4.480400146916509,-1.6156367808580399,1700259281.7902043,
-172.22239295952022,-204.04146178252995,-204.07886078208685,-119.2766292868182,1700259281.7902043,
-29.881800645962358,-33.195352006703615,-18.643401279114187,-1.6343362806364894,1700259281.8058727,
40.046848725527525,45.09945356566459,50.095959906466305,37.174605559557676,1700259281.8058727,
