EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,Timestamp,Response
186.37604434182867,-23.520230821333826,388.8317885431461,424.30847952282056,1700263740.404233,
131.04983434733003,88.33269705343992,246.6351823778823,208.20397043321282,1700263740.404233,
481.48407004540786,383.81658270256594,543.9179599056952,611.8270633011125,1700263740.4186833,
233.82228512968868,-13.66185453813523,583.4823615369387,543.3251857627183,1700263740.4186833,
470.5841316245496,353.4654246121645,691.6327884555794,641.8453702954575,1700263740.4194007,
729.4469169075601,729.9368438017555,714.9192755296826,766.1802142723463,1700263740.4194007,
615.8399759535678,351.8516577812843,926.4274475737475,924.5631074458361,1700263740.432969,
645.6581983002834,487.4716498744674,955.7333036265336,905.5475861211307,1700263740.432969,
1006.3902485263534,24.410327010788023,1008.735165798571,999.9576206025667,1700263740.4486132,
1177.2756272517145,-37.05866866093129,1359.7977046892047,1392.237596904859,1700263740.4486132,
1402.9785895776004,221.31605967786163,1730.5078079970554,1686.4592663189396,1700263740.4493644,
1099.2931033256464,78.38643312128261,2205.0562335746363,2168.599688806571,1700263740.4493644,
1411.6626372747123,325.1581218475476,2446.6967795616947,2508.6669218274765,1700263740.4629629,
1273.4602442621253,47.880069182720035,2605.1862598839216,2563.632231476251,1700263740.4629629,
1454.3330258191563,347.1468636370264,2646.358818496112,2598.716232960578,1700263740.4786184,
1722.9681696863845,742.5907953018323,2681.7102228272706,2733.735971110873,1700263740.4786184,
1594.468947108835,355.3540740897879,2884.530607274268,2881.2207958134823,1700263740.4793582,
1633.1694318503141,488.9283409072086,2909.8385102744214,2858.1325234370306,1700263740.4793582,
1981.9450219180435,24.76748745655641,2975.608390895184,2967.734031538479,1700263740.4929776,
2157.093886592891,-28.03616001782939,3325.2609875025228,3358.798540355172,1700263740.4929776,
2375.691039002966,216.5308576845564,3697.160378996283,3637.9446730478667,1700263740.5086763,
2090.2113857353106,81.32786443643272,4166.648719933815,4122.149520311039,1700263740.5086763,
2422.525806148071,343.91185017535463,4427.018684898969,4481.9821245977655,1700263740.5099375,
2237.488645990379,28.307302764616907,4546.302793985698,4503.710943340324,1700263740.5099375,
2424.405105875805,338.7189990868792,4602.573328719009,4550.702786283568,1700263740.5229602,
2720.2068830211647,753.737567119766,4655.5583613412455,4697.836060390342,1700263740.5229602,
2590.600650056731,352.17328917747363,4840.887233695481,4839.729734659195,1700263740.5390563,
2634.884805432055,503.42980298539624,4895.302778050769,4842.818892022595,1700263740.5390563,
2938.549722234253,983.1467703017406,4914.215452126693,4908.555113543756,1700263740.5398629,
3138.621280213818,960.6512720682658,5287.76600945089,5324.620853564236,1700263740.5398629,
3355.105389148928,1188.0783282737248,5646.777705697343,5593.108271383215,1700263740.5529897,
3065.9045354253612,1051.5476705413312,6116.2024683356285,6075.817158664111,1700263740.5529897,
3453.726550980471,1376.8161194375716,6443.10151361255,6504.72571513243,1700263740.5687327,
3167.697132419329,963.8993751797825,6466.333772137295,6428.830055381637,1700263740.5687327,
3412.37260722043,1313.4865235378966,6560.437134822365,6505.490524673369,1700263740.5696673,
3717.382018056698,1745.8432677653618,6632.260043521412,6673.784152729437,1700263740.5696673,
3562.755854388699,1323.1971737728454,6796.862390321214,6784.883490763139,1700263740.5829597,
3605.5029108822346,1465.698581784498,6834.770016272087,6780.973425359465,1700263740.5829597,
3939.6442724233493,1011.6915567135438,6893.602382475045,6887.007068903185,1700263740.5990355,
4126.154953163583,956.6439692657441,7246.052424249239,7279.35436340468,1700263740.5990355,
4342.665241398383,1196.8053848203272,7619.182242828421,7559.9627969800495,1700263740.599841,
4042.427942905575,1040.4719568225555,8076.601926608942,8030.44221140584,1700263740.599841,
4419.273352090735,1380.7635838408023,8394.794484789018,8461.127220353112,1700263740.6129858,
4170.893506383523,979.7060623425059,8437.687397380825,8388.638609461952,1700263740.6129858,
4365.095291382633,1303.7534339032136,8513.397932083812,8450.919163424056,1700263740.6292045,
4710.390904541593,1765.6516478806734,8614.979224730283,8648.458809133619,1700263740.6292045,
4533.8190079336055,1322.406184932217,8752.029728556518,8736.112714345101,1700263740.6294212,
4574.4268416524865,1464.8589742444456,8794.114822757896,8743.936585052405,1700263740.6294212,
4937.249495953787,1018.5673627820797,8866.04431860568,8860.064218576532,1700263740.6429763,
5104.832543018274,964.869879218284,9209.597138385288,9235.667980976403,1700263740.6429763,
5318.354651188478,1195.8647999814712,9578.788842311129,9520.248188304715,1700263740.658638,
5016.041708220262,1049.4795058658347,10039.417360253632,9991.640138319694,1700263740.658638,
5412.521592172794,1393.2903787423857,10374.028079239186,10416.928471630905,1700263740.6599085,
5135.123862709384,972.1009757826105,10402.331642103847,10345.98069952149,1700263740.6599085,
5341.734635761473,1301.204692083411,10480.226278380957,10417.438967974856,1700263740.6730137,
5700.104939165525,1772.8042065459304,10581.044631436467,10616.762545963284,1700263740.6730137,
5500.34566283226,1317.834157236386,10709.762638161425,10698.462530445307,1700263740.688892,
5558.16077624727,1465.1899553905241,10758.923623078968,10694.690841339994,1700263740.688892,
